ability,способность
able,способный
about,о
above,выше
absolutely,безусловно
accept,принимать
accord,согласие
account,счёт
achieve,достигать
across,через
act,действовать
action,действие
activity,мероприятие
actually,на_самом_деле
add,добавлять
address,адрес
admit,допускать
advance,развиваться
affect,оказывать_воздействие
afraid,испуганный
age,возраст
ago,тому_назад
agree,соглашаться
ahead,впереди
aim,цель
air,воздух
alive,живой
allow,позволять
almost,почти
alone,одинокий
along,вдоль
already,уже
also,тоже
although,хотя
always,всегда
amaze,изумлять
American,американец
among,среди
amount,количество
and,и
animal,животное
another,ещё_один
anybody,кто-нибудь
anymore,больше_не
anyone,кто-нибудь
anything,что-нибудь
anyway,как_бы_то_ни_было__во_всяком_случае__всё_равно
anywhere,везде
apart,отдельно
appear,появляться
approach,подход
area,площадь
argue,спорить
arm,рука_(от_кисти_до_плеча)
around,вокруг
arrive,прибывать
art,искусство
article,статья
associate,коллега
assume,предполагать
attack,атаковать
attempt,пытаться
attention,внимание
avoid,избегать
away,далеко
baby,младенец
back,назад
bad,плохой
bank,берег
bar,бар
base,основывать__базироваться
battle,битва
bear,медведь
beat,бить
become,становиться
bed,кровать
beg,просить
begin,начинать
behind,позади
believe,верить
belong,принадлежать
bend,сгибать
benefit,выгода
best,лучший
bet,держать_пари
better,лучше_улучшать_лучший
beyond,за
bind,привязывать
bird,птица
bit,кусочек
bite,кусать
blame,обвинять
bleed,кровоточить
bless,благословлять
block,блок__кубик__многоквартирный_дом
blood,кровь
blow,дуть
board,садиться_(в_поезд__на_судно)
body,тело
bone,кость
book,бронировать
bother,беспокоиться
bottle,бутылка
bottom,дно
box,коробка
brain,мозг
break,ломать
breath,дыхание
breathe,дышать
bright,яркий
bring,приносить
build,строить
burn,обжечься
bus,автобус
business,дело
busy,деятельный_занятой
but,но
button,пуговица
buy,покупать
bye,пока
call,вызывать
calm,спокойный
car,автомобиль
card,открытка
care,заботиться
careful,осторожный
carry,нести__перевозить
case,случай
cast,бросать
catch,ловить
cause,быть_причиной
centre,центр
century,столетие
certain,точный__определённый
certainly,конечно
chain,цепь
chair,стул
challenge,вызов
chance,шанс__возможность
change,изменять_менять
charge,заряжать
check,счет_(америк._вариант)
child,ребёнок
choice,выбор
choose,выбирать
chorus,припев
church,церковь
circle,круг
circumstance,обстоятельства
city,город
claim,требовать
class,класс
clean,чистый
clear,светлый__ясный__прозрачный__чёткий
clearly,ясно
climb,подниматься
close,закрывать
clothe,одевать
cloud,облако
cold,холодный
collect,собирать
color,цвет
come,приходить
command,владение
comment,замечание
commit,совершать
common,общий
community,общественный
company,компания
compare,сравнивать
complete,полный__целый__законченный__завершённый
completely,полностью
complicate,усложнять
concern,беспокойство
condition,состояние
confuse,смущать
connect,соединять
consider,рассматривать
contain,содержать
continue,продолжать
Control,управлять
conversation,беседа
convince,убеждать
cool,прохладный
corner,угол
correct,правильный__соответствующий__надлежащий
cost,цена
count,считать
country,страна
couple,пара
course,курс
cover,накрывать
crack,трескаться
crash,крушение
crawl,ползти
crazy,сумасшедший
create,создавать
crime,преступление
cross,пересекать
crowd,толпа
cry,плакать
cup,чашка
current,текущий
customer,покупатель
cut,резать__разрезать
damage,повреждать
damn,черт_побери
dare,осмеливаться__сметь
dark,тёмный
darkness,темнота
data,данные
date,разг._свидание
daughter,дочь
day,день
deal,сделка
dear,дорогой
death,смерть
decide,решать
decision,решение
deep,глубокий
define,определять
degree,степень
deliver,разносить
demand,требовать
deny,отрицать
depend on,зависеть_от
describe,описывать
deserve,заслуживать
design,замысел
desire,желание
destroy,разрушать
detail,подробный
determine,определять
develop,развивать
difference,разница
different,непохожий__другой__отличный
difficult,трудный
dig,копать
dinner,обед
direct,прямой__непосредственный_непрерывный__откровенный
direction,направление
disappear,исчезать
discover,обнаруживать
discuss,обсуждать
distance,расстояние
divide,делить
doctor,врач
dollar,доллар
door,дверь
double,дублёр
doubt,сомнение
drag,тащить
draw,тащить__рисовать
dream,мечта
dress,платье
drink,пить
drive,ехать
drop,бросать
drown,топить
drug,лекарственное_средство
dry,сухой
due,должный
dust,пыль
ear,ухо
early,ранний__начальный
earth,земля
easy,лёгкий
eat,есть
edge,край
effect,влияние
effort,усилие
eight,восемь
either,каждый
else,ещё
empty,пустой
end,конец
enemy,враг
energy,энергия
engage,участвовать
English,английский_язык_английский
enjoy,наслаждаться
enough,достаточно
enter,входить
entire,полный__целый__весь
escape,избежать
especially,особенно
establish,устанавливать
even,даже
event,мероприятие
ever,когда-либо
every,каждый
everybody,каждый
everything,всё
everywhere,везде
evidence,доказательство
evil,зло
exactly,точно
example,пример
except,кроме
excite,возбуждать
excuse,отговорка
exist,существовать
expect,ждать
experience,(жизненный)_опыт
explain,объяснять
express,выражать
extend,расширять
eye,глаз
face,лицо
fact,факт
fade,постепенно_исчезать
fail,потерпеть_неудачу
fair,честный
faith,вера
fall,упасть
family,семья
far,далёкий
fast,быстрый__скорый_неточный__спешащий
father,отец
fear,страх
feature,Функция
fee,гонорар
feel,чувствовать
field,поле
fight,драться
figure,представлять_себе
fill,наполнять
final,завершающий__заключительный__конечный
finally,в_конце_концов
find,находить
fine,тонкий__утончённый_прекрасный__превосходный__совершенный
finger,палец_(на_руке)
finish,заканчивать
fire,пламя
first,первый
fish,рыба
fit,соответствовать
five,пять
fix,исправлять
flame,пламя
flesh,тело
float,плавать_(о_курсе_валют)
floor,этаж
flow,поток
flower,цветок
fly,летать
focus,внимание
follow,следовать
food,еда
fool,дурак
foot,ступня
force,заставлять__принуждать
fore,передний
forever,навсегда
forget,забывать
forgive,прощать
form,форма
forward,вперёд
four,четыре
free,свободный__вольный__независимый
freeze,замерзать
friend,друг
frighten,пугать
front,передний
full,полный
fun,веселье
function,функция
funny,забавный
future,будущее
gain,получать
game,игра
gate,ворота
gather,собираться
general,общий
gentleman,джентльмен
get,получить
gift,подарок
girl,девочка
give,дать
glad,радостный
glass,стеклянный
go,ходить
goal,цель
God,Бог
goodbye,до_свидания
government,правительство
grab,хватать
grant,дарить
great,большой__огромный__крупный
group,группа
grow,расти
guard,охрана
guess,догадываться
guide,вести
guy,парень
half,половина
hand,рука
handle,справиться
hang,вешать
happen,случаться
happy,счастливый
hard,жёсткий__твёрдый_тугой__негибкий__негнущийся
hate,ненавидеть
head,голова
hear,слышать
heart,сердце
heat,жара
heaven,небеса
heavy,тяжёлый
hello,Привет
hey,эй
hide,прятать
high,высокий
his,его
history,история
hit,ударять
hold,держать
hole,дыра
home,дом
honey,мёд
hook,крючок
hope,надежда
hot,горячий
hour,час
house,дом
however,однако
huge,гигантский
huh,ха
human,людской__человеческий_социальный__общественный
hundred,сто
hunt,охотиться
hurt,делать_больно
husband,муж
ice,лед
idea,идея
ignore,игнорировать
ill,больной
image,изображение
imagine,воображать
important,важный__значительный__существенный
impossible,невозможный
improve,совершенствовать_(-ся)
in,в
include,содержать_в_себе
increase,возрастать__увеличиваться
individual,отдельный
information,информация
inside,внутри
instead,взамен
intend,намереваться
interest,интересовать
introduce,знакомить
invite,приглашать
involve,вовлекать
issue,проблема
join,присоединить
joke,шутка
judge,судить
jump,прыгать
just,только_что
keep,хранить
key,ключ
Kick,удар
kid,ребёнок
kind,добрый__любезный__сердечный
knee,колено
knock,стук
knowledge,знание
lack,недостаток
lady,дама
land,приземляться
language,язык
large,большой
last,последний
late,поздний
lay,класть
lead,вести__приводить
leader,лидер
leaf,лист
lean,тощий
learn,изучать_узнавать_учиться
least,по_крайней_мере
leave,уезжать
leg,нога_(от_бедра_до_ступни)
less,меньше
lesson,урок
letter,письмо
level,уровень
life,жизнь
lift,лифт_(брит.)
light,свет
likely,вероятно
limit,предел
line,линия
link,соединять
lip,губа
list,список
listen,cлушать
little,маленький
load,грузить
local,местный
lock,запирать_на_замок
lonely,одинокий
long,длинный
lose,терять
loud,громкий
low,низкий__невысокий_открытый_низкий_(об_одежде__обуви)
luck,удача
Lucky,удачный
machine,машина
mad,сумасшедший
main,главный_важнейший__основной_абсолютный
major,главный
make,создавать
manage,суметь
many,много
March,март
market,рынок
master,хозяин
match,спичка
material,материал
maybe,может_быть
mean,иметь_в_виду
measure,измерять
meet,встречаться
memory,память
mention,упоминать
mess,беспорядок
message,сообщение
method,метод
middle,середина
mile,миля
million,миллион
mind,обращать_внимание
mine,мой
minute,минута
mirror,зеркало
mistake,ошибка
mix,смешивать
model,модель
moment,момент
money,деньги
month,месяц
morning,утро
mother,мать
mountain,гора
mouth,рот
move,двигать
movie,кино
much,много
murder,убийство
music,музыка
nation,нация
natural,естественный
nature,природа
near,близкий
necessary,необходимый
neck,шея
need,нуждаться
neither,ни_один
never,никогда
new,новый
news,новости
next,следующий_будущий_ближайший__соседний
night,ночь
nine,девять
nobody,никто
noise,грохот
none,никто
normal,нормальный
north,север
note,обращать_внимание
nothing,ничего
notice,замечать
now,сейчас
object,объект
observe,наблюдать
occur,происходить
ocean,океан
offer,предлагать
office,офис
often,часто
okay,хорошо
old,старый
one,один
only,только
open,открывать
operate,действовать
opportunity,возможность
order,заказ
original,настоящий__подлинный__(не_только_оригинальный)
ourself,сами
outside,снаружи
pack,упаковывать
page,страница
paint,красить
pant,тяжело_дышать
parent,родитель
part,часть
particular,конкретный
party,вечеринка
pass,передавать
past,прошлое
path,путь
pay,выплата_плата_платить
peace,мир
people,люди
perfect,совершенный_идеальный
perform,исполнять
perhaps,возможно
period,точка
person,человек
personal,личный
phone,телефон
pick,выбирать
picture,картина
piece,часть
place,место
plan,планировать
plant,растение
play,играть
please,пожалуйста
pleasure,удовольствие
pocket,карман
point,указывать
poor,бедный
pop,выскакивать
position,положение
possible,вероятный__возможный
post,отправлять_по_почте
pound,фунт
pour,наливать
power,сила
powerful,мощный
practice,практиковать_практика
pray,молиться
prefer,предпочитать
prepare,готовить
present,представлять
press,давить
pretend,притворяться
pretty,хорошенький
prevent,предотвращать
price,цена
private,частный__личный__персональный__приватный
probably,вероятно
problem,проблема
process,процесс
produce,производить
product,произведение
program,программа
project,проект
promise,обещание
protect,защищать
proud,гордый
prove,доказывать
provide,предоставлять
public,общественность
pull,тянуть
purpose,цель
push,толкать
put,класть
quality,качество
question,вопрос
quick,быстрый
quickly,быстро
quiet,спокойный
quite,вполне
race,гонка
rain,дождь
raise,повышение
range,ряд
rate,ставка
reach,достигать
read,читать
ready,готовый__подготовленный__приготовленный
real,реальный__действительный__подлинный__истинный
reality,реальность
realize,осознавать
really,действительно
reason,причина
receive,получать
recognize,узнавать
record,записывать
reduce,уменьшать__сокращать
refer,ссылаться
reflect,отражать
refuse,отказывать
regard,рассматривать
regret,сожалеть
relate,относиться
relationship,отношение
relax,расслабляться
release,освобождать
remain,оставаться
remember,помнить
remind,напоминать
remove,удалять
repeat,повторять
replace,заменять
reply,отвечать
report,сообщать
represent,представлять
require,требовать
research,исследование
resource,ресурсы
respect,уважение
rest,отдыхать
result,результат
return,возвращать
reveal,обнаруживать
rich,богатый
ride,поездка
right,правый
ring,кольцо
rip,рвать
rise,подъём
risk,рисковать
river,река
road,дорога
roll,катить
room,комната
round,круглый
ruin,разрушать
rule,управлять
run,бежать
safe,безопасный
same,одинаковый
satisfy,удовлетворять
save,спасать
say,говорить
scare,пугать
scene,сцена
science,наука
scream,крик
sea,море
search,искать
seat,место
second,второй
secret,секрет
see,видеть
seek,искать
seem,казаться
sell,продавать
send,отправлять
sense,чувство
separate,разделять
serious,серьёзный
serve,обслуживать__служить
service,служба
set,размещать__устанавливать
settle,успокаиваться
seven,семь
several,несколько
shadow,тень
shake,трясти
shape,форма
share,делиться
she,она
shift,перемещение
shine,светить
ship,корабль
shock,поражать
shoe,обувь
shoot,выбрасывать
shop,магазин
short,короткий
shoulder,плечо
shout,кричать
show,показывать
shut,закрывать
sick,больной
side,сторона
sigh,вздох
sight,взгляд
sign,подпись
silence,тишина
simple,несложный__простой__лёгкий
simply,просто
since,с_тех_пор
sing,петь
single,единственный
Sink,раковина
sir,сэр
sit,сидеть
situation,ситуация
six,шeсть
size,размер
skill,техника
skin,кожа
sky,небо
sleep,спать
slide,слайд
slow,медленный__тихий_медлительный__неторопливый__постепенный
slowly,медленно
small,маленький
smart,умный
smell,запах
smile,улыбка
smoke,дым
social,общественный_социальный__коммуникабельный__общительный
soft,мягкий
soldier,солдат
solve,решать
somebody,кто-то
somehow,как-нибудь
something,что-нибудь
sometimes,иногда
somewhere,где-то
song,песня
soon,скоро
sorry,извините
sort,вид
sound,звук
source,источник
south,юг
space,пространство
speak,разговаривать
special,особый__особенный__специальный
speed,скорость
spend,тратить
spin,крутить
spirit,дух
spot,пятно
spread,распространять
spring,весна
stage,эстрада
stand,стоять
standard,стандартный
stare,смотреть_пристально
start,начало_старт_начинать
state,состояние
station,станция
stay,оставаться
steal,воровать
step,шаг
stick,(at_/_to_/_with_/_by)_держаться__придерживаться
still,до_сих_пор
stop,прекращать__останавливаться
store,магазин
storm,шторм
story,история
straight,прямой
strange,странный
street,улица
strength,сила
stretch,растягивать
strike,бить
string,верёвка
strong,сильный
struggle,борьба
student,студент
study,изучать
stuff,вещи
stupid,глупый
style,стиль
subject,предмет
success,успех
such,такой
suddenly,внезапно
suffer,страдать
suggest,предлагать
suit,костюм
sun,солнце
supply,доставлять
support,поддерживать
suppose,предполагать
sure,уверенный_верный__безошибочный_надёжный
surprise,сюрприз
surround,окружать
survive,пережить
swear,клясться
sweet,сладкий
swing,качать
system,система
table,стол
take,брать
talk,говорить
tall,высокий
taste,вкус
teach,учить__обучать
team,команда
tear,рвать
tell,рассказывать
ten,десять
tend,иметь_склонность
term,срок
terrible,ужасный
test,испытание
thank,благодарить
they,они
thing,вещь
think,думать
third,третий
this,этот
though,хотя
thousand,тысяча
threaten,угрожать
three,три
throw,бросать
tie,галстук
tight,тугой
till,до
time,время
tip,подсказка
tire,уставать
today,сегодня
together,вместе
tomorrow,завтра
tongue,язык
tonight,сегодня_вечером
tool,инструмент
tooth, зуб
top,вершина
touch,прикасаться
town,город_(маленький)
track,след
trade,торговля
train,поезд
trap,ловушка
travel,путешествовать
treat,обращаться
tree,дерево
trick,хитрость
trip,путешествие
trouble,неприятности
true,верный
trust,доверие
truth,правда
try,пытаться
turn,поворачивать
twenty,двадцать
twice,дважды
twist,поворот
two,два
type,печатать
understand,понимать
unite,объединять
unless,до_тех_пор
upon,на
use,использовать
usually,обычно
value,ценность
verse,куплет
view,вид
vision,видение
visit,посещать
voice,голос
wait,ждать
wake,просыпаться
walk,гулять
wall,стена
want,желание_желать_хотеть_потребность
war,война
warn,предупреждать
wash,стирка
waste,тратить_впустую
watch,смотреть
water,вода
wave,махать
way,дорога
we,мы
weak,слабый
weapon,оружие
wear,носить
wed,вступать_в_брак
week,неделя
weight,вес
welcome,добро_пожаловать
west,запад
whatever,что_бы_ни
whether,либо
whisper,шептать
whole,весь__целый_полный
whose,чей
wide,широкий
wife,жена
wild,дикий
win,выиграть
wind,ветер
window,окно
wing,крыло
wish,желать
with,с
within,в_пределах
without,без
woman,женщина
wonder,удивлять
wonderful,замечательный
word,слово
work,работа
worry,беспокойство
worth,стоимость
wrap,обертывать
write,писать
wrong,неправильный
year,год
yes,да
yesterday,вчера
yet,ещё
